Belgium_Municipalities,NSI,Crude_Prev_2014,Adj_Prev_2014,SMR_2014,Crude_Prev_2017,Adj_Prev_2017,SMR_2017,Diff_Prev_2017_2014,Nb_of_Patients
Aalst,41002,41.675,41.6589,1.275,41.8761,41.8908,1.276,0.2319,1189
Aalter,44001,60.2179,60.2116,1.843,61.1765,61.1346,1.862,0.923,1279
Aarschot,24001,54.9545,54.9476,1.682,55.2223,55.2097,1.681,0.2621,1159
Aartselaar,11001,38.4615,38.535,1.179,38.7899,38.7993,1.182,0.2643,1279
Affligem,23105,41.8028,41.8882,1.282,43.0127,43.1109,1.313,1.2227,1163
Aiseau-Presles,52074,5.4286,5.4244,0.166,4.5714,4.5727,0.139,-0.8517,997
Alken,73001,61.2288,61.0832,1.869,63.3475,63.0431,1.92,1.9599,1203
Alveringem,38002,54.8323,54.7103,1.674,53.8462,53.7301,1.636,-0.9802,1696
Amay,61003,7.3286,7.3347,0.224,1.9504,1.9529,0.059,-5.3818,1008
Amel,63001,9.854,9.8269,0.301,6.0219,6,0.183,-3.8269,1159
Andenne,92003,6.9103,6.8973,0.211,5.4485,5.4372,0.166,-1.4601,1214
Anderlecht,21001,11.3809,11.3782,0.348,10.3764,10.3852,0.316,-0.993,1177
Anderlues,56001,3.5417,3.5479,0.109,3.3333,3.3403,0.102,-0.2076,1679
Anhée,91005,7.1101,7.1038,0.217,6.5367,6.5303,0.199,-0.5735,884
Ans,62003,7.2699,7.2687,0.222,2.8504,2.8486,0.087,-4.4201,786
Anthisnes,61079,6.25,6.2552,0.191,0.5859,0.5869,0.018,-5.6683,899
Antoing,57003,13.9309,13.9214,0.426,12.743,12.7017,0.387,-1.2197,1389
Antwerpen,11002,39.7978,39.8366,1.219,39.9989,40.0332,1.219,0.1966,1813
Anzegem,34002,41.9238,41.963,1.284,45.1906,45.1854,1.376,3.2224,1130
Ardooie,37020,52.2648,52.1496,1.596,54.5296,54.4008,1.657,2.2512,1442
Arendonk,13001,54.7368,54.6577,1.673,55.4605,55.2806,1.683,0.6229,1650
Arlon,81001,13.134,13.1263,0.402,12.4286,12.4173,0.378,-0.709,1063
As,71002,57.6882,57.4871,1.759,59.1729,58.9223,1.794,1.4352,2864
Asse,23002,45.1527,45.1421,1.381,44.7278,44.6995,1.361,-0.4426,1149
Assenede,43002,56.8873,56.9237,1.742,58.1992,58.2085,1.773,1.2848,988
Assesse,92006,5.6555,5.6621,0.173,4.3702,4.3797,0.133,-1.2824,1203
Ath,51004,5.7005,5.7028,0.175,5.5303,5.5314,0.168,-0.1714,1074
Attert,81003,10.9375,10.8633,0.332,10.7143,10.6453,0.324,-0.218,636
Aubange,81004,8.3773,8.3588,0.256,7.3814,7.3608,0.224,-0.998,715
Aubel,63003,7.3118,7.3119,0.224,1.9355,1.9351,0.059,-5.3768,1545
Auderghem | Oudergem,21002,7.9334,7.9269,0.243,7.656,7.6504,0.233,-0.2765,1108
Avelgem,34003,43.4934,43.4972,1.331,47.6856,47.6802,1.452,4.183,802
Awans,62006,7.9077,7.913,0.242,2.7183,2.7176,0.083,-5.1954,2121
Aywaille,62009,5.5749,5.5684,0.17,1.6028,1.5989,0.049,-3.9695,1760
Baarle-Hertog,13002,62.9747,63.1395,1.932,63.9241,63.9206,1.947,0.7811,1069
Baelen,63004,12.5514,12.548,0.384,7.2016,7.2088,0.22,-5.3392,1581
Balen,13003,62.3098,62.2745,1.906,65.002,64.8936,1.976,2.6191,997
Bassenge,62011,9.7184,9.7249,0.298,3.7239,3.727,0.113,-5.9979,919
Bastogne,82003,9.7656,9.7484,0.298,9.7656,9.7542,0.297,0.0058,866
Beaumont,56005,2.4735,2.4773,0.076,3.6514,3.6596,0.111,1.1823,1118
Beauraing,91013,13.2163,13.197,0.404,13.0314,13.0217,0.397,-0.1753,1088
Beauvechain,25005,10.107,10.09,0.309,10.4637,10.4682,0.319,0.3782,1292
Beernem,31003,48.1358,48.2441,1.476,52.6433,52.8597,1.61,4.6156,2991
Beerse,13004,51.7893,51.7572,1.584,54.672,54.7006,1.666,2.9434,1490
Beersel,23003,25.739,25.6563,0.785,23.8459,23.7547,0.723,-1.9016,1575
Begijnendijk,24007,46.2139,46.1527,1.412,52.8493,52.8442,1.609,6.6915,1003
Bekkevoort,24008,53.7396,53.6502,1.642,53.6011,53.5139,1.63,-0.1363,1547
Beloeil,51008,7.4733,7.4801,0.229,6.465,6.4702,0.197,-1.0099,1755
Berchem-Ste-Agathe | St-Agatha-Berchem,21003,10.7311,10.7299,0.328,10.8491,10.849,0.33,0.1191,1314
Beringen,71004,61.9529,61.9177,1.895,62.7504,62.7957,1.912,0.878,1085
Berlaar,12002,52.1033,51.9679,1.59,54.4649,54.3913,1.656,2.4234,1196
Berlare,42003,50.4945,50.501,1.545,53.2967,53.355,1.625,2.854,738
Berloz,64008,10.7362,10.686,0.327,3.0675,3.0443,0.093,-7.6417,1764
Bernissart,51009,6.6574,6.6482,0.203,7.0735,7.0659,0.215,0.4177,1010
Bertem,24009,57.807,57.7353,1.767,51.0526,51.0683,1.555,-6.667,891
Bertogne,82005,10.0694,10.0408,0.307,0,0,0,-10.0408,549
Bertrix,84009,7.5203,7.5048,0.23,8.3333,8.3345,0.254,0.8297,1817
Bever,23009,30.8,30.6139,0.937,37.2,36.9714,1.126,6.3575,1361
Beveren,46003,45.4697,45.512,1.393,48.4732,48.5254,1.478,3.0134,1493
Beyne-Heusay,62015,6.3573,6.3591,0.195,3.3694,3.3691,0.103,-2.99,1504
Bierbeek,24011,57.541,57.6561,1.764,57.0492,57.1802,1.741,-0.4759,1469
Bièvre,91015,8.5492,8.5349,0.261,8.8083,8.7981,0.268,0.2632,1334
Bilzen,73006,49.833,49.7984,1.524,51.6568,51.614,1.572,1.8156,1542
Binche,56011,6.0478,6.0455,0.185,5.5556,5.5447,0.169,-0.5008,1426
Blankenberge,31004,46.6414,46.8098,1.432,46.9253,46.9737,1.43,0.1639,1785
Blégny,62119,7.0102,7.0021,0.214,3.595,3.5857,0.109,-3.4164,1829
Bocholt,72003,67.902,67.9003,2.078,68.1533,68.2852,2.079,0.3849,1982
Boechout,11004,35.254,35.2084,1.077,41.0781,41.0541,1.25,5.8457,1442
Bonheiden,12005,42.0425,42.0124,1.286,45.9824,45.8831,1.397,3.8707,1080
Boom,11005,43.2725,43.2109,1.322,44.0137,43.8835,1.336,0.6726,1879
Boortmeerbeek,24014,37.9444,37.8933,1.16,42.5339,42.4783,1.294,4.585,1314
Borgloon,73009,55.9829,55.9773,1.713,56.339,56.2915,1.714,0.3142,1203
Bornem,12007,49.9813,50.03,1.531,51.1028,51.1693,1.558,1.1393,1049
Borsbeek,11007,45.0491,45.0593,1.379,43.3107,43.3511,1.32,-1.7082,1533
Bouillon,84010,9.4053,9.411,0.288,8.852,8.8709,0.27,-0.5401,960
Boussu,53014,7.5211,7.5184,0.23,5.1804,5.1836,0.158,-2.3348,942
Boutersem,24016,54.162,54.1018,1.656,57.0477,57.0345,1.737,2.9327,1384
Braine-l'Alleud,25014,12.5481,12.5564,0.384,11.2587,11.2476,0.343,-1.3088,1157
Braine-le-Château,25015,9.8865,9.8778,0.302,8.9141,8.9073,0.271,-0.9705,1811
